time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	9.74021e-10	1.85128e-17	0	lidar	3.85116e-16	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.718361	0.597209	7.24995	7.45482e-09	1.01709e-09	radar	74.1295	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.09342	0.522036	7.30762	-0.379812	-0.0537081	lidar	1.05117	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24756	0.543606	6.98966	-0.264126	-0.130846	radar	3.0711	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61383	0.500319	6.92837	-0.210127	-0.0678542	lidar	1.0762	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85638	0.539245	6.02494	-0.130861	-0.423634	radar	5.59571	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16567	0.530978	5.97738	-0.111799	-0.282421	lidar	0.836143	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3803	0.606946	5.49739	-0.00319403	0.0535019	radar	6.13235	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65321	0.621194	5.4797	0.0197908	0.130753	lidar	0.120213	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91428	0.637004	5.40916	0.0365599	0.156956	radar	0.159249	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14781	0.64732	5.36296	0.0525619	0.187009	lidar	1.02995	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43218	0.557719	5.38891	-0.063865	-0.185456	radar	1.85143	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
